region,activity,s_ele,u_need,net,residual
FI,"Biogasification of sewage slugde, incl. land application",507.07441781823826,5.60419149190333,5.60419149190333,501.4702263263349
FI,Coal,3466.21620154541,154.57622421246094,154.57622421246094,3311.639977332949
FI,Gas,1464.5983950191874,63.61577238396816,63.61577238396816,1400.9826226352193
FI,Hydro,33730.144854987346,1465.0474567244062,1465.0474567244062,32265.09739826294
FI,Incineration of waste: Food,84.71981117911926,36.25907417853949,36.25907417853949,48.46073700057977
FI,Incineration of waste: Oil/Hazardous waste,1327.162000346286,327.9560204623498,327.9560204623498,999.2059798839363
FI,Incineration of waste: Paper,96.38326408643788,29.06497752302779,29.06497752302779,67.31828656341008
FI,Incineration of waste: Plastic,54.05477515884781,6.227140495738349,6.227140495738349,47.827634663109464
FI,Incineration of waste: Textiles,19.1142536945835,5.336457358283856,5.336457358283856,13.777796336299645
FI,Incineration of waste: Wood,134.35680606852696,21.43717299436495,21.43717299436495,112.91963307416202
FI,Other Fossil,6011.035800076432,119.9760448717098,119.9760448717098,5891.059755204722
FI,Solar,1589.843748678101,59.47680595348944,59.47680595348944,1530.3669427246116
FI,Wind,33381.74796405097,1457.6408780778877,1457.6408780778877,31924.107085973083
FI,Nuclear,76132.48747927013,3306.7472048432164,3306.7472048432164,72825.74027442692
FR,Bioenergy,38852.81261975575,0.0,0.0,38852.81261975575
FR,"Biogasification of food waste, incl. land application",565.877474508544,6.0295317291468145,6.0295317291468145,559.8479427793972
FR,"Biogasification of paper, incl. land application",78.59409368117664,0.5810223833561926,0.5810223833561926,78.01307129782045
FR,"Biogasification of sewage slugde, incl. land application",5509.288864733867,47.116143896936485,47.116143896936485,5462.17272083693
FR,Coal,7546.750353835477,371.6086556564994,371.6086556564994,7175.141698178977
FR,Gas,113939.02772011636,5615.80355360771,5615.80355360771,108323.22416650865
FR,Hydro,216340.95194943168,11995.085042756908,11995.085042756908,204345.86690667478
FR,Incineration of waste: Food,4561.856350070078,1681.8373318736017,1681.8373318736017,2880.0190181964767
FR,Incineration of waste: Oil/Hazardous waste,8315.511470305486,1636.3621557548397,1636.3621557548397,6679.1493145506465
FR,Incineration of waste: Paper,4761.570781074781,1222.3539338684398,1222.3539338684398,3539.2168472063413
FR,Incineration of waste: Plastic,1999.712208112171,200.1059667239091,200.1059667239091,1799.6062413882619
FR,Incineration of waste: Textiles,1029.233639470032,245.59149337478516,245.59149337478516,783.6421460952467
FR,Incineration of waste: Wood,1490.2068402634677,175.54023245362566,175.54023245362566,1314.666607809842
FR,Other Fossil,42028.05122494858,2078.6175476978374,2078.6175476978374,39949.43367725074
FR,Other Renewables,2207.3299534827806,107.73528452894097,107.73528452894097,2099.5946689538396
FR,Solar,83329.83494005867,4096.000175858708,4096.000175858708,79233.83476419997
FR,Wind,196605.8282035956,9652.149928852612,9652.149928852612,186953.67827474297
FR,Nuclear,1291398.7302701042,63156.73142162274,63156.73142162274,1228241.9988484816
GB,Bioenergy,150933.56853513996,7546.678423239493,7546.678423239493,143386.89011190046
GB,"Biogasification of food waste, incl. land application",147.0298679234543,1.7226876633635393,1.7226876633635393,145.30718026009077
GB,"Biogasification of paper, incl. land application",20.42081499104499,0.1744312926229418,0.1744312926229418,20.246383698422047
GB,"Biogasification of sewage slugde, incl. land application",7588.11881841227,70.78825564671847,70.78825564671847,7517.330562765552
GB,Coal,16716.9179098333,753.8563721305952,753.8563721305952,15963.061537702706
GB,Gas,452665.760489382,20412.579313582708,20412.579313582708,432253.18117579934
GB,Hydro,24518.97455574448,503.9566950976184,503.9566950976184,24015.01786064686
GB,Incineration of waste: Food,2243.645505522023,488.2450421670398,488.2450421670398,1755.4004633549832
GB,Incineration of waste: Oil/Hazardous waste,2554.98419453747,481.6593767921578,481.6593767921578,2073.3248177453124
GB,Incineration of waste: Paper,2270.543337896473,243.574366129934,243.574366129934,2026.9689717665392
GB,Incineration of waste: Plastic,535.6923288118255,218.0966336333201,218.0966336333201,317.5956951785054
GB,Incineration of waste: Textiles,506.2052050449063,150.41057468068684,150.41057468068684,355.7946303642194
GB,Incineration of waste: Wood,641.1070387625713,131.8331421340588,131.8331421340588,509.2738966285125
GB,Other Fossil,40421.26266806187,1822.833200804551,1822.833200804551,38598.429467257316
GB,Other Renewables,51.884597228486015,0.0,0.0,51.884597228486015
GB,Solar,61497.45199873161,2773.1974852700323,2773.1974852700323,58724.25451346158
