site,decision,year,tvd,dtot,unsd_twh,ember_twh,chp_share_of_thermal,autoproducer_share,years_compared
GR,UNSD,Y23,0.0137,0.0176,49.69,48.83,0.194,0.057,Y21:tvd=0.007;Y22:tvd=0.015;Y23:tvd=0.014
GT,REVIEW,Y23,0.1136,0.185,15.95,13.46,0.0,0.067,Y21:tvd=0.133;Y22:tvd=0.085;Y23:tvd=0.114
GU,UNSD,Y22,0.0178,0.0541,1.7,1.8,0.0,0.01,Y21:tvd=0.006;Y22:tvd=0.018
GW,REVIEW|dtot,Y22,0.0787,1.4516,0.2,0.08,0.0,0.098,Y21:tvd=0.069;Y22:tvd=0.079
GY,REVIEW,Y23,0.0518,0.0016,1.34,1.34,0.0,0.115,Y21:tvd=0.008;Y22:tvd=0.006;Y23:tvd=0.052
HK,UNSD,Y23,0.029,0.0002,37.63,37.64,0.0,0.0,Y21:tvd=0.026;Y22:tvd=0.052;Y23:tvd=0.029
HN,REVIEW,Y23,0.0826,0.0448,12.23,11.71,0.0,0.167,Y21:tvd=0.008;Y22:tvd=0.009;Y23:tvd=0.083
HR,UNSD,Y23,0.011,0.013,17.45,17.23,0.779,0.016,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.011
HT,UNSD,Y22,0.0087,0.018,1.03,1.01,0.0,0.022,Y21:tvd=0.013;Y22:tvd=0.009
HU,UNSD,Y23,0.001,0.0007,35.55,35.52,0.669,0.114,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.001
ID,REVIEW,Y23,0.0781,0.0753,377.02,350.6,0.0,0.137,Y21:tvd=0.053;Y22:tvd=0.073;Y23:tvd=0.078
IE,UNSD,Y23,0.0052,0.0082,31.56,31.3,0.106,0.07,Y21:tvd=0.004;Y22:tvd=0.004;Y23:tvd=0.005
IL,UNSD,Y23,0.0147,0.0294,76.59,74.41,0.102,0.171,Y21:tvd=0.010;Y22:tvd=0.008;Y23:tvd=0.015
IN,UNSD,Y23,0.044,0.0372,1990.28,1918.97,0.0,0.1,Y21:tvd=0.079;Y22:tvd=0.067;Y23:tvd=0.044
